cve_estac,longitud,latitud,ZONA
ACO,-98.912003,19.635501,NE
AJM,-99.207744,19.272161,SO
ATI,-99.254133,19.576963,NO
BJU,-99.159596,19.370464,CE
CAM,-99.169794,19.468404,NO
CHO,-98.886088,19.266948,SE
CUA,-99.291705,19.365313,SO
CUT,-99.198602,19.722186,NO
FAC,-99.243524,19.482473,NO
GAM,-99.094517,19.4827,NE
HGM,-99.152207,19.411617,CE
INN,-99.38052,19.291968,SO
IZT,-99.117641,19.384413,CE
MER,-99.119594,19.42461,CE
MGH,-99.20266,19.40405,NO
PED,-99.204136,19.325146,SO
SAG,-99.030324,19.532968,NE
SFE,-99.262865,19.357357,SO
TAH,-99.010564,19.246459,SE
TLA,-99.204597,19.529077,NO
TLI,-99.177173,19.602542,NO
UIZ,-99.07388,19.360794,SE
VIF,-99.09659,19.658223,NE
XAL,-99.0824,19.525995,NE
AJU,-99.162611,19.154286,NA
CCA,-99.176111,19.326111,NA
NEZ,-99.028212,19.393734,NA
UAX,-99.103629,19.304441,NA
MON,-98.902853,19.460415,NA